D,complex_weights,feature_dist,method,proj,rmse,seed,test_kl,test_mean_mse,test_mnll,test_var_mse
10.0,1.0,None,rff,gaussian,0.5592852234840393,0.0,3113.224853515625,0.11076860129833221,0.8530492782592773,0.0002671000547707081
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.5158208012580872,0.0,1749.265380859375,0.06190555915236473,0.7581951022148132,0.00017017296340782195
50.0,1.0,None,rff,gaussian,0.5056065320968628,0.0,1516.5799560546875,0.054789889603853226,0.7369898557662964,0.00023602801957167685
50.0,1.0,"[3, 3, 3, 5, 7, 11, 17]",maclaurin,rademacher,0.46747806668281555,0.0,481.22991943359375,0.017517415806651115,0.664132833480835,9.19753874768503e-05
100.0,1.0,None,rff,gaussian,0.48514190316200256,0.0,881.2613525390625,0.03195995092391968,0.6958855390548706,0.0001809998939279467
100.0,1.0,"[5, 6, 7, 10, 15, 22, 34]",maclaurin,rademacher,0.4635162353515625,0.0,378.2672119140625,0.01394604705274105,0.6566416025161743,9.724576375447214e-05
200.0,1.0,None,rff,gaussian,0.46896958351135254,0.0,483.8232727050781,0.017152855172753334,0.6656211018562317,0.00011874665506184101
200.0,1.0,"[11, 11, 14, 20, 29, 45, 69]",maclaurin,rademacher,0.46052929759025574,0.0,381.5614013671875,0.013982062228024006,0.6514225602149963,7.524892134824768e-05
300.0,1.0,None,rff,gaussian,0.46574145555496216,0.0,384.750244140625,0.013443270698189735,0.6600960493087769,8.250634709838778e-05
300.0,1.0,"[16, 17, 21, 30, 44, 68, 103]",maclaurin,rademacher,0.46577930450439453,0.0,445.71075439453125,0.01652693934738636,0.6610497236251831,9.602146747056395e-05
10.0,1.0,None,rff,gaussian,0.5692979097366333,1.0,3357.409912109375,0.11940047144889832,0.8759113550186157,0.00026675997651182115
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.5099512934684753,1.0,1488.1051025390625,0.05272490531206131,0.7467459440231323,0.00014701268810313195
50.0,1.0,None,rff,gaussian,0.5268568396568298,1.0,2040.2147216796875,0.0745900422334671,0.7809786796569824,0.0002357079356443137
50.0,1.0,"[3, 3, 3, 5, 7, 11, 17]",maclaurin,rademacher,0.46695128083229065,1.0,434.7450866699219,0.01543815340846777,0.6627329587936401,6.348625174723566e-05
100.0,1.0,None,rff,gaussian,0.47768253087997437,1.0,705.6566162109375,0.025250105187296867,0.6819390654563904,0.0001850086555350572
100.0,1.0,"[5, 6, 7, 10, 15, 22, 34]",maclaurin,rademacher,0.460068017244339,1.0,296.078369140625,0.011048923246562481,0.6501454710960388,8.605699986219406e-05
200.0,1.0,None,rff,gaussian,0.4667228162288666,1.0,455.7195739746094,0.016114285215735435,0.6617027521133423,0.00011517075472511351
200.0,1.0,"[11, 11, 14, 20, 29, 45, 69]",maclaurin,rademacher,0.46135392785072327,1.0,376.738037109375,0.013645601458847523,0.6531161665916443,8.273989806184545e-05
300.0,1.0,None,rff,gaussian,0.4651472270488739,1.0,370.6924133300781,0.01293991319835186,0.6590602993965149,8.110686030704528e-05
300.0,1.0,"[16, 17, 21, 30, 44, 68, 103]",maclaurin,rademacher,0.4579804539680481,1.0,272.88299560546875,0.01001537311822176,0.6466597318649292,6.644239329034463e-05
10.0,1.0,None,rff,gaussian,0.5938230752944946,2.0,4218.947265625,0.14969325065612793,0.9336934089660645,0.00026694245752878487
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.5005970597267151,2.0,1295.4581298828125,0.04636019840836525,0.7271621823310852,0.00015916598204057664
50.0,1.0,None,rff,gaussian,0.48860859870910645,2.0,1050.6473388671875,0.03693336248397827,0.7031821012496948,0.0002358679921599105
50.0,1.0,"[3, 3, 3, 5, 7, 11, 17]",maclaurin,rademacher,0.46296223998069763,2.0,350.4614562988281,0.012834768742322922,0.6554567813873291,9.015907562570646e-05
100.0,1.0,None,rff,gaussian,0.4752078950405121,2.0,683.7144775390625,0.02455105073750019,0.6771553754806519,0.000185717610293068
100.0,1.0,"[5, 6, 7, 10, 15, 22, 34]",maclaurin,rademacher,0.4616145193576813,2.0,355.4070739746094,0.013303099200129509,0.6528055667877197,9.54752613324672e-05
200.0,1.0,None,rff,gaussian,0.4682724177837372,2.0,480.72247314453125,0.016941960901021957,0.6644834876060486,0.00011666963109746575
200.0,1.0,"[11, 11, 14, 20, 29, 45, 69]",maclaurin,rademacher,0.4584917426109314,2.0,285.61572265625,0.010537493042647839,0.6476054787635803,9.282955579692498e-05
300.0,1.0,None,rff,gaussian,0.4648084342479706,2.0,382.99249267578125,0.013389510102570057,0.6584087610244751,8.747436368139461e-05
300.0,1.0,"[16, 17, 21, 30, 44, 68, 103]",maclaurin,rademacher,0.4585150182247162,2.0,279.6875915527344,0.0104293841868639,0.6475631594657898,9.706993296276778e-05
10.0,1.0,None,rff,gaussian,0.5669454336166382,3.0,3438.55810546875,0.12116070091724396,0.8704853653907776,0.0002660800237208605
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.4970976412296295,3.0,1211.100830078125,0.0429316908121109,0.7201805114746094,0.0001657702960073948
50.0,1.0,None,rff,gaussian,0.49952760338783264,3.0,1315.767333984375,0.04726768285036087,0.7247357368469238,0.00023447329294867814
50.0,1.0,"[3, 3, 3, 5, 7, 11, 17]",maclaurin,rademacher,0.4664836525917053,3.0,453.8460693359375,0.01665334589779377,0.662015974521637,0.00011175764666404575
100.0,1.0,None,rff,gaussian,0.47071611881256104,3.0,565.0011596679688,0.020102983340620995,0.668740451335907,0.00018442104919813573
100.0,1.0,"[5, 6, 7, 10, 15, 22, 34]",maclaurin,rademacher,0.4822671413421631,3.0,884.8408813476562,0.03155744448304176,0.6929796934127808,0.00011327390529913828
200.0,1.0,None,rff,gaussian,0.4689710736274719,3.0,494.65118408203125,0.01738283783197403,0.6657825112342834,0.00011798537889262661
200.0,1.0,"[11, 11, 14, 20, 29, 45, 69]",maclaurin,rademacher,0.460003525018692,3.0,333.3077087402344,0.012262469157576561,0.6505740880966187,9.919738658936694e-05
300.0,1.0,None,rff,gaussian,0.4645850658416748,3.0,361.1911315917969,0.012707781977951527,0.6578958034515381,8.62567248987034e-05
300.0,1.0,"[16, 17, 21, 30, 44, 68, 103]",maclaurin,rademacher,0.45955443382263184,3.0,306.50421142578125,0.011374378576874733,0.6494135856628418,9.293306356994435e-05
10.0,1.0,None,rff,gaussian,0.597003698348999,4.0,4322.2939453125,0.15270082652568817,0.9413634538650513,0.0002671153633855283
10.0,1.0,"[1, 1, 1, 1, 1, 2, 2]",maclaurin,rademacher,0.4963555335998535,4.0,1201.8291015625,0.043004874140024185,0.7186982035636902,0.0001433645811630413
50.0,1.0,None,rff,gaussian,0.49201419949531555,4.0,1173.5064697265625,0.04150192812085152,0.7098796963691711,0.0002333487500436604
50.0,1.0,"[3, 3, 3, 5, 7, 11, 17]",maclaurin,rademacher,0.4646707773208618,4.0,408.4037780761719,0.014843870885670185,0.6588670015335083,0.00011005212581949309
100.0,1.0,None,rff,gaussian,0.47417494654655457,4.0,605.8409423828125,0.021503280848264694,0.6753458380699158,0.00017853976169135422
